ear,Age,Both Sexes Population,Male Population,Female Population,Percent Both Sexes,Percent Male,Percent Female,Sex Ratio
2010,Total,"1,173,108,018","608,633,795","564,474,223",100,100,100,107.8
2010,0,"24,089,627","12,733,727","11,355,900",2.1,2.1,2,112.1
2010,1,"23,765,277","12,587,293","11,177,984",2,2.1,2,112.6
2010,2,"23,609,953","12,527,030","11,082,923",2,2.1,2,113
2010,3,"23,504,904","12,483,305","11,021,599",2,2.1,2,113.3
2010,4,"23,485,146","12,482,284","11,002,862",2,2.1,1.9,113.4
2010,5,"23,539,417","12,517,146","11,022,271",2,2.1,2,113.6
2010,6,"23,575,657","12,538,382","11,037,275",2,2.1,2,113.6
2010,7,"23,583,072","12,542,898","11,040,174",2,2.1,2,113.6
2010,8,"23,563,911","12,533,001","11,030,910",2,2.1,2,113.6
2010,9,"23,533,821","12,517,262","11,016,559",2,2.1,2,113.6
2010,10,"23,495,272","12,495,473","10,999,799",2,2.1,1.9,113.6
2010,11,"23,431,558","12,458,566","10,972,992",2,2,1.9,113.5
2010,12,"23,346,411","12,407,573","10,938,838",2,2,1.9,113.4
2010,13,"23,230,631","12,339,244","10,891,387",2,2,1.9,113.3
2010,14,"23,046,341","12,233,984","10,812,357",2,2,1.9,113.1
2010,15,"22,793,114","12,091,291","10,701,823",1.9,2,1.9,113
2010,16,"22,507,636","11,931,143","10,576,493",1.9,2,1.9,112.8
2010,17,"22,190,340","11,754,460","10,435,880",1.9,1.9,1.8,112.6
2010,18,"21,841,721","11,562,535","10,279,186",1.9,1.9,1.8,112.5
2010,19,"21,491,994","11,332,734","10,159,260",1.8,1.9,1.8,111.6
2010,20,"21,227,991","11,141,590","10,086,401",1.8,1.8,1.8,110.5
2010,21,"21,055,692","11,021,839","10,033,853",1.8,1.8,1.8,109.8
2010,22,"20,867,020","10,907,275","9,959,745",1.8,1.8,1.8,109.5
2010,23,"20,659,205","10,787,288","9,871,917",1.8,1.8,1.7,109.3
2010,24,"20,434,796","10,657,510","9,777,286",1.7,1.8,1.7,109
2010,25,"20,198,949","10,520,202","9,678,747",1.7,1.7,1.7,108.7
2010,26,"19,954,959","10,380,582","9,574,377",1.7,1.7,1.7,108.4
2010,27,"19,704,870","10,239,096","9,465,774",1.7,1.7,1.7,108.2
2010,28,"19,449,620","10,095,896","9,353,724",1.7,1.7,1.7,107.9
2010,29,"19,190,312","9,951,254","9,239,058",1.6,1.6,1.6,107.7
2010,30,"18,927,725","9,805,013","9,122,712",1.6,1.6,1.6,107.5
2010,31,"18,663,008","9,657,584","9,005,424",1.6,1.6,1.6,107.2
2010,32,"18,397,208","9,509,616","8,887,592",1.6,1.6,1.6,107
2010,33,"18,130,633","9,360,895","8,769,738",1.5,1.5,1.6,106.7
2010,34,"17,863,880","9,211,242","8,652,638",1.5,1.5,1.5,106.5
2010,35,"17,598,049","9,060,983","8,537,066",1.5,1.5,1.5,106.1
2010,36,"17,332,938","8,910,205","8,422,733",1.5,1.5,1.5,105.8
2010,37,"17,067,579","8,758,791","8,308,788",1.5,1.4,1.5,105.4
2010,38,"16,808,313","8,610,503","8,197,810",1.4,1.4,1.5,105
2010,39,"16,414,921","8,400,218","8,014,703",1.4,1.4,1.4,104.8
