name,sex,age,y2010,y2011,y2012,y2013,y2014
India,0,999,1173108018,1189172906,1220800359,1220800359,1236344631
India,0,0,24089627,24026645,23871430,23871430,23787614
India,0,1,23765277,23735971,23629132,23629132,23563771
India,0,2,23609953,23605117,23543659,23543659,23490932
India,0,3,23504904,23519647,23501131,23501131,23465234
India,0,4,23485146,23437966,23457723,23457723,23442712
India,0,5,23539417,23434745,23409543,23409543,23413611
India,0,6,23575657,23503752,23357226,23357226,23378237
India,0,7,23583072,23548408,23375691,23375691,23333242
India,0,8,23563911,23560774,23457045,23457045,23355940
India,0,9,23533821,23544573,23509015,23509015,23439789
India,0,10,23495272,23516083,23525600,23525600,23493078
India,0,11,23431558,23478238,23511537,23511537,23510238
India,0,12,23346411,23414505,23483649,23483649,23496095
India,0,13,23230631,23328600,23444958,23444958,23467402
India,0,14,23046341,23211369,23378953,23378953,23427201
India,0,15,22793114,23024910,23289301,23289301,23358907
India,0,16,22507636,22769000,23167011,23167011,23266418
India,0,17,22190340,22480810,22974979,22974979,23141257
India,0,18,21841721,22161422,22714125,22714125,22946946
India,0,19,21491994,21811612,22422476,22422476,22684723
India,0,20,21227991,21461139,22101009,22101009,22392196
India,0,21,21055692,21196207,21749617,21749617,22069867
India,0,22,20867020,21022756,21397451,21397451,21717585
India,0,23,20659205,20832969,21130552,21130552,21364593
India,0,24,20434796,20624103,20954936,20954936,21096812
India,0,25,20198949,20397877,20762281,20762281,20919397
India,0,26,19954959,20160371,20549984,20549984,20725139
India,0,27,19704870,19915770,20321573,20321573,20512307
India,0,28,19449620,19665247,20083067,20083067,20283472
India,0,29,19190312,19409732,19837733,19837733,20044644
India,0,30,18927725,19150144,19586585,19586585,19798936
India,0,31,18663008,18887308,19330453,19330453,19547456
India,0,32,18397208,18622215,19070156,19070156,19290862
India,0,33,18130633,18355526,18805985,18805985,19029611
India,0,34,17863880,18087541,18538553,18538553,18763998
India,0,35,17598049,17819749,18269403,18269403,18495525
India,0,36,17332938,17552711,17999173,17999173,18225166
India,0,37,17067579,17285694,17728246,17728246,17952993
India,0,38,16808313,17018775,17457685,17457685,17680442
India,0,39,16414921,16758279,17187805,17187805,17408569
India,0,40,15894055,16364449,16918740,16918740,17137743
India,0,41,15391358,15843439,16656321,16656321,16867617
India,0,42,14901483,15339890,16260531,16260531,16603386
India,0,43,14423873,14848483,15737004,15737004,16205476
India,0,44,13957455,14368620,15229500,15229500,15679532
India,0,45,13501246,13899455,14732910,14732910,15169090
India,0,46,13054082,13440220,14247072,14247072,14669263
India,0,47,12614938,12989816,13771424,13771424,14179965
India,0,48,12183557,12547296,13305354,13305354,13700725
India,0,49,11759683,12112432,12847876,12847876,13230956
India,0,50,11342889,11684979,12398084,12398084,12769693
India,0,51,10932530,11264337,11955589,11955589,12315840
India,0,52,10527575,10849628,11519701,11519701,11868750
India,0,53,10126884,10439716,11089485,11089485,11427626
India,0,54,9729494,10033443,10663919,10663919,10991499
India,0,55,9334847,9629975,10241977,10241977,10559473
India,0,56,8942642,9228986,9822880,9822880,10130780
India,0,57,8553216,8830669,9406528,9406528,9705132
India,0,58,8166839,8435919,8993650,8993650,9282994
India,0,59,7793793,8045184,8585175,8585175,8865273
India,0,60,7421410,7668273,8181842,8181842,8452572
India,0,61,7086155,7292183,7783244,7783244,8045076
India,0,62,6752151,6952560,7398193,7398193,7642262
India,0,63,6423266,6614165,7014051,7014051,7252845
India,0,64,6098871,6280726,6665043,6665043,6864372
India,0,65,5778385,5951869,6317372,6317372,6510552
India,0,66,5461644,5627098,5974913,5974913,6158325
India,0,67,5148177,5305961,5637054,5637054,5811141
India,0,68,4837238,4987740,5302737,5302737,5468111
India,0,69,4528269,4671752,4971299,4971299,5128226
India,0,70,4221347,4357811,4642467,4642467,4791212
India,0,71,3917000,4046359,4316323,4316323,4457190
India,0,72,3616117,3738246,3993426,3993426,4126619
India,0,73,3319965,3434670,3674885,3674885,3800400
India,0,74,3029838,3137026,3362018,3362018,3479799
India,0,75,2746969,2846673,3056229,3056229,3166209
India,0,76,2472494,2564817,2758935,2758935,2860999
India,0,77,2207418,2292547,2471412,2471412,2565524
India,0,78,1952849,2030883,2194805,2194805,2281052
